date P ETpot Q T
2010060707  0.000 0.280 0.0014  17.7
2010060708  0.000 0.288 0.0014  17.5
2010060709  0.000 0.148 0.0014  17.1
2010060710  0.000 0.220 0.0014  18.5
2010060711  0.000 0.248 0.0014  18.7
2010060712  0.000 0.210 0.0014  18.8
2010060713  0.000 0.324 0.0014  19.5
2010060714  0.000 0.351 0.0014  19.8
2010060715  0.000 0.292 0.0014  20.0
2010060716  0.000 0.156 0.0014  18.8
2010060717  0.000 0.036 0.0014  17.6
2010060718  0.000 0.031 0.0014  15.4
2010060719  0.000 0.003 0.0014  14.3
2010060720  0.000 0.000 0.0014  13.2
2010060721  0.000 0.000 0.0014  11.5
2010060722  0.000 0.000 0.0014  11.1
2010060723  0.000 0.000 0.0014  11.8
2010060800  0.000 0.000 0.0014  12.0
2010060801  0.000 0.000 0.0014  11.2
2010060802  0.000 0.000 0.0014  10.7
2010060803  0.000 0.005 0.0014  10.6
2010060804  0.000 0.039 0.0014  13.0
2010060805  0.000 0.079 0.0014  14.8
2010060806  0.000 0.127 0.0014  17.1
2010060807  0.000 0.158 0.0014  18.3
2010060808  0.000 0.151 0.0014  19.0
2010060809  0.000 0.122 0.0014  19.8
2010060810  0.000 0.266 0.0014  21.4
2010060811  0.000 0.178 0.0014  21.1
2010060812  0.000 0.342 0.0014  23.0
2010060813  0.000 0.386 0.0014  22.2
2010060814  0.000 0.269 0.0014  23.2
2010060815  0.000 0.249 0.0014  22.5
2010060816  0.000 0.153 0.0014  21.6
2010060817  0.000 0.055 0.0016  21.0
2010060818  0.000 0.015 0.0016  17.6
2010060819  0.000 0.005 0.0016  16.6
2010060820  0.000 0.000 0.0016  16.8
2010060821  2.315 0.000 0.0016  16.4
2010060822  0.965 0.000 0.0014  15.8
2010060823  0.000 0.000 0.0014  15.2
2010060900  0.000 0.000 0.0014  15.1
2010060901  0.000 0.000 0.0014  15.6
2010060902  0.000 0.000 0.0016  15.3
2010060903  0.000 0.003 0.0016  14.3
2010060904  0.000 0.019 0.0016  15.8
2010060905  0.000 0.031 0.0016  16.6
2010060906  0.000 0.070 0.0016  17.8
2010060907  0.000 0.128 0.0016  18.7
2010060908  0.000 0.058 0.0016  18.3
2010060909  0.000 0.077 0.0016  18.0
