DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = som van de neerslag in tiende millimeters van 08.00 - 08.00 UTC/
           daily precipitation amount in 0.1 mm over the period 08.00 - 08.00 UTC
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
680,20000605,    0,    0, Aalten
680,20000606,   88,    0, Aalten
680,20000607,  136,    0, Aalten
680,20000608,    3,    0, Aalten
680,20000609,    0,    0, Aalten
680,20000610,   15,    0, Aalten
680,20000611,    1,    0, Aalten
680,20000612,    0,    0, Aalten
680,20000613,    0,    0, Aalten
680,20000614,    0,    0, Aalten
680,20000615,    9,    0, Aalten
680,20000616,    0,    0, Aalten
680,20000617,    0,    0, Aalten
680,20000618,    0,    0, Aalten
680,20000619,    0,    0, Aalten
680,20000620,    0,    0, Aalten
680,20000621,    0,    0, Aalten
680,20000622,   10,    0, Aalten
680,20000623,    8,    0, Aalten
680,20000624,   81,    0, Aalten
680,20000625,   53,    0, Aalten
680,20000626,   43,    0, Aalten
680,20000627,    0,    0, Aalten
680,20000628,    0,    0, Aalten
680,20000629,    0,    0, Aalten
680,20000630,    0,    0, Aalten
680,20000701,    0,    0, Aalten
680,20000702,   67,    0, Aalten
680,20000703,   20,    0, Aalten
680,20000704,   17,    0, Aalten
680,20000705,   72,    0, Aalten
680,20000706,   45,    0, Aalten
680,20000707,    0,    0, Aalten
680,20000708,    0,    0, Aalten
680,20000709,    4,    0, Aalten
680,20000710,   51,    0, Aalten
680,20000711,  217,    0, Aalten
680,20000712,   23,    0, Aalten
680,20000713,    1,    0, Aalten
680,20000714,  107,    0, Aalten
680,20000715,   43,    0, Aalten
680,20000716,   21,    0, Aalten
680,20000717,    2,    0, Aalten
680,20000718,   13,    0, Aalten
680,20000719,    9,    0, Aalten
680,20000720,    4,    0, Aalten
680,20000721,    0,    0, Aalten
680,20000722,    0,    0, Aalten
680,20000723,    0,    0, Aalten
680,20000724,    0,    0, Aalten
680,20000725,   86,    0, Aalten
680,20000726,   78,    0, Aalten
680,20000727,    1,    0, Aalten
680,20000728,  129,    0, Aalten
680,20000729,  148,    0, Aalten
680,20000730,    1,    0, Aalten
680,20000731,    0,    0, Aalten
680,20000801,    0,    0, Aalten
680,20000802,  192,    0, Aalten
680,20000803,    0,    0, Aalten
680,20000804,    1,    0, Aalten
680,20000805,    0,    0, Aalten
680,20000806,    0,    0, Aalten
680,20000807,   15,    0, Aalten
680,20000808,    8,    0, Aalten
680,20000809,    6,    0, Aalten
680,20000810,    0,    0, Aalten
680,20000811,    3,    0, Aalten
680,20000812,    0,    0, Aalten
680,20000813,    0,    0, Aalten
680,20000814,    0,    0, Aalten
680,20000815,    0,    0, Aalten
680,20000816,    0,    0, Aalten
680,20000817,   27,    0, Aalten
680,20000818,    2,    0, Aalten
680,20000819,   16,    0, Aalten
680,20000820,   59,    0, Aalten
680,20000821,   59,    0, Aalten
680,20000822,    0,    0, Aalten
680,20000823,    8,    0, Aalten
680,20000824,    0,    0, Aalten
680,20000825,    0,    0, Aalten
680,20000826,    0,    0, Aalten
680,20000827,  118,    0, Aalten
680,20000828,  120,    0, Aalten
680,20000829,    0,    0, Aalten
680,20000830,    4,    0, Aalten
680,20000831,    0,    0, Aalten
680,20000901,    0,    0, Aalten
680,20000902,   75,    0, Aalten
680,20000903,  152,    0, Aalten
680,20000904,   44,    0, Aalten
680,20000905,    0,    0, Aalten
680,20000906,   19,    0, Aalten
680,20000907,   43,    0, Aalten
680,20000908,   21,    0, Aalten
680,20000909,   11,    0, Aalten
680,20000910,   11,    0, Aalten
680,20000911,    0,    0, Aalten
680,20000912,    0,    0, Aalten
680,20000913,    0,    0, Aalten
680,20000914,    0,    0, Aalten
680,20000915,    0,    0, Aalten
680,20000916,  113,    0, Aalten
680,20000917,    4,    0, Aalten
680,20000918,    7,    0, Aalten
680,20000919,    0,    0, Aalten
680,20000920,    3,    0, Aalten
680,20000921,  262,    0, Aalten
680,20000922,   13,    0, Aalten
680,20000923,    0,    0, Aalten
680,20000924,    0,    0, Aalten
680,20000925,    9,    0, Aalten
680,20000926,   32,    0, Aalten
680,20000927,   14,    0, Aalten
680,20000928,   17,    0, Aalten
680,20000929,   16,    0, Aalten
680,20000930,    0,    0, Aalten
680,20001001,   46,    0, Aalten
680,20001002,  192,    0, Aalten
680,20001003,    0,    0, Aalten
680,20001004,    0,    0, Aalten
680,20001005,   11,    0, Aalten
680,20001006,    8,    0, Aalten
680,20001007,   26,    0, Aalten
680,20001008,    0,    0, Aalten
680,20001009,   25,    0, Aalten
680,20001010,   58,    0, Aalten
680,20001011,   81,    0, Aalten
680,20001012,    4,    0, Aalten
680,20001013,    0,    0, Aalten
680,20001014,    0,    0, Aalten
680,20001015,    0,    0, Aalten
680,20001016,    0,    0, Aalten
680,20001017,   17,    0, Aalten
680,20001018,   18,    0, Aalten
680,20001019,   28,    0, Aalten
680,20001020,   15,    0, Aalten
680,20001021,    0,    0, Aalten
680,20001022,    0,    0, Aalten
680,20001023,    0,    0, Aalten
680,20001024,   46,    0, Aalten
680,20001025,    0,    0, Aalten
680,20001026,    4,    0, Aalten
680,20001027,   16,    0, Aalten
680,20001028,   82,    0, Aalten
680,20001029,   20,    0, Aalten
680,20001030,   40,    0, Aalten
680,20001031,   36,    0, Aalten
680,20001101,   10,    0, Aalten
680,20001102,   27,    0, Aalten
680,20001103,   97,    0, Aalten
680,20001104,    0,    0, Aalten
680,20001105,    0,    0, Aalten
680,20001106,   17,    0, Aalten
680,20001107,   18,    0, Aalten
680,20001108,   26,    0, Aalten
680,20001109,   38,    0, Aalten
680,20001110,    1,    0, Aalten
680,20001111,    0,    0, Aalten
680,20001112,    0,    0, Aalten
680,20001113,   68,    0, Aalten
680,20001114,    0,    0, Aalten
680,20001115,    1,    0, Aalten
680,20001116,    1,    0, Aalten
680,20001117,   20,    0, Aalten
680,20001118,   30,    0, Aalten
680,20001119,   19,    0, Aalten
680,20001120,   52,    0, Aalten
680,20001121,    2,    0, Aalten
680,20001122,   15,    0, Aalten
680,20001123,    5,    0, Aalten
680,20001124,   27,    0, Aalten
680,20001125,    0,    0, Aalten
680,20001126,   54,    0, Aalten
680,20001127,    2,    0, Aalten
680,20001128,   55,    0, Aalten
680,20001129,    0,    0, Aalten
680,20001130,    0,    0, Aalten
680,20001201,    0,    0, Aalten
680,20001202,   17,    0, Aalten
680,20001203,   10,    0, Aalten
680,20001204,    0,    0, Aalten
680,20001205,    0,    0, Aalten
680,20001206,    8,    0, Aalten
680,20001207,   61,    0, Aalten
680,20001208,   32,    0, Aalten
680,20001209,    9,    0, Aalten
680,20001210,   10,    0, Aalten
680,20001211,   71,    0, Aalten
680,20001212,   26,    0, Aalten
680,20001213,   56,    0, Aalten
680,20001214,   57,    0, Aalten
680,20001215,   26,    0, Aalten
680,20001216,   50,    0, Aalten
680,20001217,   14,    0, Aalten
680,20001218,    2,    0, Aalten
680,20001219,    0,    0, Aalten
680,20001220,    0,    0, Aalten
680,20001221,    0,    0, Aalten
680,20001222,    0,    0, Aalten
680,20001223,    0,    0, Aalten
680,20001224,    0,    0, Aalten
680,20001225,   61,    8, Aalten
680,20001226,    0,    8, Aalten
680,20001227,    0,    8, Aalten
680,20001228,   31,    4, Aalten
680,20001229,    0,    4, Aalten
680,20001230,   40,    2, Aalten
680,20001231,   10,    2, Aalten
680,20010101,   23,    2, Aalten
680,20010102,   29,    0, Aalten
680,20010103,   15,    0, Aalten
680,20010104,   23,    0, Aalten
680,20010105,   31,    0, Aalten
680,20010106,  182,    0, Aalten
680,20010107,    1,    0, Aalten
680,20010108,    0,    0, Aalten
680,20010109,    8,    0, Aalten
680,20010110,    1,    0, Aalten
680,20010111,    1,    0, Aalten
680,20010112,    0,    0, Aalten
680,20010113,    0,    0, Aalten
680,20010114,    0,    0, Aalten
680,20010115,    0,    0, Aalten
680,20010116,    0,    0, Aalten
680,20010117,    0,    0, Aalten
680,20010118,    0,    0, Aalten
680,20010119,    3,    0, Aalten
680,20010120,    5,    0, Aalten
680,20010121,    3,  997, Aalten
680,20010122,   56,    4, Aalten
680,20010123,   41,    0, Aalten
680,20010124,   43,    0, Aalten
680,20010125,    9,    0, Aalten
680,20010126,   31,    0, Aalten
680,20010127,   36,    0, Aalten
680,20010128,   63,    0, Aalten
680,20010129,    7,    0, Aalten
680,20010130,    0,    0, Aalten
680,20010131,    0,    0, Aalten
680,20010201,    0,    0, Aalten
680,20010202,    5,    0, Aalten
680,20010203,   95,    4, Aalten
680,20010204,   75,    2, Aalten
680,20010205,  162,    0, Aalten
680,20010206,   42,    0, Aalten
680,20010207,   18,    0, Aalten
680,20010208,   24,    0, Aalten
680,20010209,   86,    0, Aalten
680,20010210,    0,    0, Aalten
680,20010211,    2,    0, Aalten
680,20010212,    0,    0, Aalten
680,20010213,   35,    0, Aalten
680,20010214,    0,    0, Aalten
680,20010215,    0,    0, Aalten
680,20010216,    0,    0, Aalten
680,20010217,   55,    0, Aalten
680,20010218,    0,    0, Aalten
680,20010219,    0,    0, Aalten
680,20010220,    7,    0, Aalten
680,20010221,    3,    0, Aalten
680,20010222,    8,    0, Aalten
680,20010223,   18,    0, Aalten
680,20010224,   32,    2, Aalten
680,20010225,    0,  997, Aalten
680,20010226,    8,    0, Aalten
680,20010227,    0,    0, Aalten
680,20010228,    0,    0, Aalten
680,20010301,   12,    0, Aalten
680,20010302,   16,    0, Aalten
680,20010303,    2,    0, Aalten
680,20010304,    0,    0, Aalten
680,20010305,    4,    0, Aalten
680,20010306,    0,    0, Aalten
680,20010307,    9,    0, Aalten
680,20010308,   20,    0, Aalten
680,20010309,   10,    0, Aalten
680,20010310,   11,    0, Aalten
680,20010311,   68,    0, Aalten
680,20010312,   22,    0, Aalten
680,20010313,    7,    0, Aalten
680,20010314,   20,    0, Aalten
680,20010315,    6,    0, Aalten
680,20010316,   21,    0, Aalten
680,20010317,    7,    0, Aalten
680,20010318,   52,    0, Aalten
680,20010319,  190,    0, Aalten
680,20010320,    3,    0, Aalten
680,20010321,    0,    0, Aalten
680,20010322,   60,    0, Aalten
680,20010323,    4,    0, Aalten
680,20010324,   85,    0, Aalten
680,20010325,    5,    0, Aalten
680,20010326,    0,    0, Aalten
680,20010327,    0,    0, Aalten
680,20010328,    5,    0, Aalten
680,20010329,  102,    0, Aalten
680,20010330,   33,    0, Aalten
680,20010331,    2,    0, Aalten
680,20010401,    6,    0, Aalten
680,20010402,    0,    0, Aalten
680,20010403,    0,    0, Aalten
680,20010404,    0,    0, Aalten
680,20010405,   31,    0, Aalten
680,20010406,   97,    0, Aalten
680,20010407,   66,    0, Aalten
680,20010408,   34,    0, Aalten
680,20010409,   16,    0, Aalten
680,20010410,   15,    0, Aalten
680,20010411,   24,    0, Aalten
680,20010412,    4,    0, Aalten
680,20010413,    5,    0, Aalten
680,20010414,    0,    0, Aalten
680,20010415,  125,    0, Aalten
680,20010416,   44,    0, Aalten
680,20010417,    7,    0, Aalten
680,20010418,   26,    0, Aalten
680,20010419,   15,    0, Aalten
680,20010420,   12,    0, Aalten
680,20010421,   31,    0, Aalten
680,20010422,    0,    0, Aalten
680,20010423,    0,    0, Aalten
680,20010424,    0,    0, Aalten
680,20010425,   68,    0, Aalten
680,20010426,   34,    0, Aalten
680,20010427,   20,    0, Aalten
680,20010428,   21,    0, Aalten
680,20010429,   20,    0, Aalten
680,20010430,   36,    0, Aalten
680,20010501,    0,    0, Aalten
680,20010502,    0,    0, Aalten
680,20010503,    0,    0, Aalten
680,20010504,   12,    0, Aalten
680,20010505,    0,    0, Aalten
680,20010506,    0,    0, Aalten
680,20010507,    0,    0, Aalten
680,20010508,    0,    0, Aalten
680,20010509,    0,    0, Aalten
680,20010510,    0,    0, Aalten
680,20010511,    0,    0, Aalten
680,20010512,    0,    0, Aalten
680,20010513,    0,    0, Aalten
680,20010514,    0,    0, Aalten
680,20010515,   18,    0, Aalten
680,20010516,    0,    0, Aalten
680,20010517,   32,    0, Aalten
680,20010518,    5,    0, Aalten
680,20010519,   43,    0, Aalten
680,20010520,    0,    0, Aalten
680,20010521,    0,    0, Aalten
680,20010522,    0,    0, Aalten
680,20010523,    0,    0, Aalten
680,20010524,    0,    0, Aalten
680,20010525,    0,    0, Aalten
680,20010526,    0,    0, Aalten
680,20010527,    0,    0, Aalten
680,20010528,    2,    0, Aalten
680,20010529,    8,    0, Aalten
680,20010530,    0,    0, Aalten
680,20010531,    0,    0, Aalten
680,20010601,    0,    0, Aalten
680,20010602,  143,    0, Aalten
680,20010603,   65,    0, Aalten
680,20010604,   36,    0, Aalten
680,20010605,    0,    0, Aalten
680,20010606,    3,    0, Aalten
680,20010607,   63,    0, Aalten
680,20010608,   43,    0, Aalten
680,20010609,    0,    0, Aalten
680,20010610,    0,    0, Aalten
680,20010611,    0,    0, Aalten
680,20010612,    3,    0, Aalten
680,20010613,    5,    0, Aalten
680,20010614,    0,    0, Aalten
680,20010615,    0,    0, Aalten
680,20010616,    0,    0, Aalten
680,20010617,   18,    0, Aalten
680,20010618,  114,    0, Aalten
680,20010619,    0,    0, Aalten
680,20010620,    0,    0, Aalten
680,20010621,    0,    0, Aalten
680,20010622,    0,    0, Aalten
680,20010623,   11,    0, Aalten
680,20010624,    0,    0, Aalten
680,20010625,    0,    0, Aalten
680,20010626,    0,    0, Aalten
680,20010627,    0,    0, Aalten
680,20010628,    0,    0, Aalten
680,20010629,    0,    0, Aalten
680,20010630,    0,    0, Aalten
680,20010701,   78,    0, Aalten
680,20010702,    0,    0, Aalten
680,20010703,    0,    0, Aalten
680,20010704,    0,    0, Aalten
680,20010705,    0,    0, Aalten
680,20010706,    0,    0, Aalten
680,20010707,    0,    0, Aalten
680,20010708,    1,    0, Aalten
680,20010709,   36,    0, Aalten
680,20010710,    1,    0, Aalten
680,20010711,  166,    0, Aalten
680,20010712,   32,    0, Aalten
680,20010713,   17,    0, Aalten
680,20010714,    0,    0, Aalten
680,20010715,   40,    0, Aalten
680,20010716,    0,    0, Aalten
680,20010717,    0,    0, Aalten
680,20010718,   76,    0, Aalten
680,20010719,  139,    0, Aalten
680,20010720,  149,    0, Aalten
680,20010721,   92,    0, Aalten
680,20010722,    5,    0, Aalten
680,20010723,    0,    0, Aalten
680,20010724,    0,    0, Aalten
680,20010725,    0,    0, Aalten
680,20010726,    0,    0, Aalten
680,20010727,    0,    0, Aalten
680,20010728,    2,    0, Aalten
680,20010729,    0,    0, Aalten
680,20010730,    0,    0, Aalten
680,20010731,    0,    0, Aalten
680,20010801,    0,    0, Aalten
680,20010802,    0,    0, Aalten
680,20010803,   59,    0, Aalten
680,20010804,   25,    0, Aalten
680,20010805,   36,    0, Aalten
680,20010806,   15,    0, Aalten
680,20010807,   18,    0, Aalten
680,20010808,  284,    0, Aalten
680,20010809,   12,    0, Aalten
680,20010810,  276,    0, Aalten
680,20010811,   18,    0, Aalten
680,20010812,    0,    0, Aalten
680,20010813,   19,    0, Aalten
680,20010814,    0,    0, Aalten
680,20010815,    0,    0, Aalten
680,20010816,   30,    0, Aalten
680,20010817,  122,    0, Aalten
680,20010818,  275,    0, Aalten
680,20010819,  152,    0, Aalten
680,20010820,    0,    0, Aalten
680,20010821,    0,    0, Aalten
680,20010822,    0,    0, Aalten
680,20010823,    0,    0, Aalten
680,20010824,    0,    0, Aalten
680,20010825,    0,    0, Aalten
680,20010826,    0,    0, Aalten
680,20010827,  164,    0, Aalten
680,20010828,    0,    0, Aalten
680,20010829,    0,    0, Aalten
680,20010830,    0,    0, Aalten
680,20010831,    0,    0, Aalten
680,20010901,    3,    0, Aalten
680,20010902,    0,    0, Aalten
680,20010903,   33,    0, Aalten
680,20010904,   87,    0, Aalten
680,20010905,   48,    0, Aalten
680,20010906,   69,    0, Aalten
680,20010907,   12,    0, Aalten
680,20010908,   44,    0, Aalten
680,20010909,  103,    0, Aalten
680,20010910,   79,    0, Aalten
680,20010911,    5,    0, Aalten
680,20010912,   10,    0, Aalten
680,20010913,   34,    0, Aalten
680,20010914,   29,    0, Aalten
680,20010915,   31,    0, Aalten
680,20010916,   36,    0, Aalten
680,20010917,   29,    0, Aalten
680,20010918,  111,    0, Aalten
680,20010919,    0,    0, Aalten
680,20010920,   91,    0, Aalten
680,20010921,    3,    0, Aalten
680,20010922,   15,    0, Aalten
680,20010923,   70,    0, Aalten
680,20010924,    1,    0, Aalten
680,20010925,    0,    0, Aalten
680,20010926,    0,    0, Aalten
680,20010927,   29,    0, Aalten
680,20010928,   11,    0, Aalten
680,20010929,    0,    0, Aalten
680,20010930,   15,    0, Aalten
680,20011001,   32,    0, Aalten
680,20011002,  188,    0, Aalten
680,20011003,  103,    0, Aalten
680,20011004,    1,    0, Aalten
680,20011005,    0,    0, Aalten
680,20011006,    0,    0, Aalten
680,20011007,   25,    0, Aalten
680,20011008,    0,    0, Aalten
680,20011009,    0,    0, Aalten
680,20011010,    0,    0, Aalten
680,20011011,    0,    0, Aalten
680,20011012,    0,    0, Aalten
680,20011013,    0,    0, Aalten
680,20011014,    0,    0, Aalten
680,20011015,   26,    0, Aalten
680,20011016,    0,    0, Aalten
680,20011017,    0,    0, Aalten
680,20011018,    1,    0, Aalten
680,20011019,   48,    0, Aalten
680,20011020,    1,    0, Aalten
680,20011021,    8,    0, Aalten
680,20011022,    6,    0, Aalten
680,20011023,    1,    0, Aalten
680,20011024,  113,    0, Aalten
680,20011025,   57,    0, Aalten
680,20011026,    0,    0, Aalten
680,20011027,   22,    0, Aalten
680,20011028,    0,    0, Aalten
680,20011029,    0,    0, Aalten
680,20011030,    0,    0, Aalten
680,20011031,    0,    0, Aalten
680,20011101,   30,    0, Aalten
680,20011102,    0,    0, Aalten
680,20011103,    0,    0, Aalten
680,20011104,    0,    0, Aalten
680,20011105,   18,    0, Aalten
680,20011106,    9,    0, Aalten
680,20011107,   28,    0, Aalten
680,20011108,  419,    0, Aalten
680,20011109,   45,    0, Aalten
680,20011110,    0,    0, Aalten
680,20011111,    0,    0, Aalten
680,20011112,    0,    0, Aalten
680,20011113,   51,    0, Aalten
680,20011114,    4,    0, Aalten
680,20011115,    0,    0, Aalten
680,20011116,    2,    0, Aalten
680,20011117,    3,    0, Aalten
680,20011118,    9,    0, Aalten
680,20011119,    5,    0, Aalten
680,20011120,    1,    0, Aalten
680,20011121,    9,    0, Aalten
680,20011122,   77,    0, Aalten
680,20011123,   22,    0, Aalten
680,20011124,   39,    0, Aalten
680,20011125,   18,    0, Aalten
680,20011126,   84,    0, Aalten
680,20011127,    0,    0, Aalten
680,20011128,   39,    0, Aalten
680,20011129,    5,    0, Aalten
680,20011130,  177,    0, Aalten
680,20011201,  180,    0, Aalten
680,20011202,   70,    0, Aalten
680,20011203,   13,    0, Aalten
680,20011204,    6,    0, Aalten
680,20011205,   39,    0, Aalten
680,20011206,   48,    0, Aalten
680,20011207,    0,    0, Aalten
680,20011208,    0,    0, Aalten
680,20011209,    0,    0, Aalten
680,20011210,    0,    0, Aalten
680,20011211,    0,    0, Aalten
680,20011212,    6,    0, Aalten
680,20011213,    0,    0, Aalten
680,20011214,    0,    0, Aalten
680,20011215,    0,    0, Aalten
680,20011216,    0,    0, Aalten
680,20011217,   18,    0, Aalten
680,20011218,    3,    0, Aalten
680,20011219,   13,    0, Aalten
680,20011220,   45,    0, Aalten
680,20011221,   14,    0, Aalten
680,20011222,  114,    0, Aalten
680,20011223,   26,  997, Aalten
680,20011224,    4,  997, Aalten
680,20011225,  164,    0, Aalten
680,20011226,    7,    0, Aalten
680,20011227,   14,  997, Aalten
680,20011228,  132,    0, Aalten
680,20011229,   37,    0, Aalten
680,20011230,   45,    4, Aalten
680,20011231,   20,    2, Aalten
680,20020101,    0,    2, Aalten
680,20020102,    0,    2, Aalten
680,20020103,    0,    2, Aalten
680,20020104,    0,    2, Aalten
680,20020105,    0,    2, Aalten
680,20020106,    0,  997, Aalten
680,20020107,   15,  997, Aalten
680,20020108,    0,  997, Aalten
680,20020109,    0,    0, Aalten
680,20020110,    0,    0, Aalten
680,20020111,    0,    0, Aalten
680,20020112,   14,    0, Aalten
680,20020113,    3,    0, Aalten
680,20020114,    0,    0, Aalten
680,20020115,    0,    0, Aalten
680,20020116,   58,    0, Aalten
680,20020117,    9,    0, Aalten
680,20020118,   31,    0, Aalten
680,20020119,   20,    0, Aalten
680,20020120,    5,    0, Aalten
680,20020121,  104,    0, Aalten
680,20020122,    0,    0, Aalten
680,20020123,   54,    0, Aalten
680,20020124,   33,    0, Aalten
680,20020125,   39,    0, Aalten
680,20020126,   81,    0, Aalten
680,20020127,  188,    0, Aalten
680,20020128,   43,    0, Aalten
