date        P    ETpot  Q
2010010702  0.00 0.0000 0.0360
2010010703  0.00 0.0000 0.0357
2010010704  0.00 0.0000 0.0354
2010010705  0.00 0.0000 0.0354
2010010706  0.00 0.0000 0.0349
2010010707  0.00 0.0010 0.0349
2010010708  0.00 0.0108 0.0348
2010010709  0.00 0.0344 0.0343
2010010710  0.00 0.0708 0.0341
2010010711  0.00 0.0865 0.0336
2010010712  0.00 0.0865 0.0332
2010010713  0.00 0.0678 0.0332
2010010714  0.00 0.0354 0.0330
2010010715  0.00 0.0069 0.0327
2010010716  0.00 0.0000 0.0327
2010010717  0.00 0.0000 0.0327
2010010718  0.00 0.0000 0.0327
2010010719  0.00 0.0000 0.0321
2010010720  0.00 0.0000 0.0321
2010010721  0.00 0.0000 0.0316
2010010722  0.00 0.0000 0.0313
2010010723  0.00 0.0000 0.0310
2010010800  0.00 0.0000 0.0309
2010010801  0.00 0.0000 0.0305
2010010802  0.00 0.0000 0.0305
2010010803  0.00 0.0000 0.0300
2010010804  0.00 0.0000 0.0299
2010010805  0.00 0.0000 0.0296
2010010806  0.00 0.0000 0.0294
2010010807  0.00 0.0010 0.0294
2010010808  0.00 0.0124 0.0280
2010010809  0.00 0.0259 0.0263
2010010810  0.00 0.0311 0.0260
2010010811  0.00 0.0435 0.0264
2010010812  0.00 0.0352 0.0271
2010010813  0.00 0.0259 0.0271
2010010814  0.00 0.0218 0.0271
2010010815  0.00 0.0031 0.0271
2010010816  0.00 0.0000 0.0274
2010010817  0.00 0.0000 0.0277
2010010818  0.00 0.0000 0.0277
2010010819  0.00 0.0000 0.0277
2010010820  0.00 0.0000 0.0277
2010010821  0.00 0.0000 0.0277
2010010822  0.00 0.0000 0.0277
2010010823  0.00 0.0000 0.0277
2010010900  0.00 0.0000 0.0277
2010010901  0.00 0.0000 0.0277
2010010902  0.00 0.0000 0.0273
2010010903  0.00 0.0000 0.0266
2010010904  0.00 0.0000 0.0259
2010010905  0.00 0.0000 0.0252
2010010906  0.10 0.0000 0.0249
2010010907  0.10 0.0011 0.0246
2010010908  0.10 0.0152 0.0244
2010010909  0.10 0.0228 0.0244
2010010910  0.10 0.0380 0.0244
2010010911  0.10 0.0359 0.0244
2010010912  0.20 0.0326 0.0244
2010010913  0.40 0.0250 0.0246
2010010914  0.30 0.0261 0.0249
2010010915  0.30 0.0033 0.0244
2010010916  0.20 0.0000 0.0241
2010010917  0.20 0.0000 0.0230
2010010918  0.20 0.0000 0.0222
2010010919  0.10 0.0000 0.0209
2010010920  0.00 0.0000 0.0205
2010010921  0.00 0.0000 0.0208
2010010922  0.00 0.0000 0.0215
2010010923  0.00 0.0000 0.0216
2010011000  0.00 0.0000 0.0216
2010011001  0.00 0.0000 0.0220
2010011002  0.00 0.0000 0.0224
2010011003  0.10 0.0000 0.0228
2010011004  0.00 0.0000 0.0233
2010011005  0.10 0.0000 0.0238
2010011006  0.70 0.0000 0.0242
2010011007  0.30 0.0009 0.0244
2010011008  0.10 0.0072 0.0244
2010011009  0.10 0.0243 0.0248
2010011010  0.10 0.0351 0.0249
2010011011  0.20 0.0495 0.0249
2010011012  0.00 0.0387 0.0249
2010011013  0.00 0.0279 0.0255
2010011014  0.00 0.0108 0.0255
2010011015  0.00 0.0054 0.0255
2010011016  0.00 0.0000 0.0258
2010011017  0.00 0.0000 0.0260
2010011018  0.00 0.0000 0.0260
2010011019  0.10 0.0000 0.0260
2010011020  0.10 0.0000 0.0266
2010011021  0.00 0.0000 0.0266
2010011022  0.00 0.0000 0.0266
2010011023  0.00 0.0000 0.0266
2010011100  0.00 0.0000 0.0266
2010011101  0.00 0.0000 0.0266
2010011102  0.00 0.0000 0.0271
2010011103  0.00 0.0000 0.0271
2010011104  0.00 0.0000 0.0271
2010011105  0.00 0.0000 0.0271
2010011106  0.00 0.0000 0.0271
2010011107  0.00 0.0010 0.0271
2010011108  0.00 0.0084 0.0271
2010011109  0.00 0.0283 0.0277
2010011110  0.00 0.0429 0.0277
2010011111  0.00 0.0440 0.0277
2010011112  0.00 0.0377 0.0277
2010011113  0.00 0.0251 0.0277
2010011114  0.00 0.0105 0.0277
2010011115  0.00 0.0021 0.0280
2010011116  0.00 0.0000 0.0282
2010011117  0.00 0.0000 0.0282
2010011118  0.00 0.0000 0.0282
2010011119  0.00 0.0000 0.0282
2010011120  0.00 0.0000 0.0285
2010011121  0.00 0.0000 0.0288
2010011122  0.00 0.0000 0.0288
