"date" "Q1" "Q2" "Q3" "Q4"
19890101 1.052 1.076 0.334 0.884
19890201 0.984 0.967 0.307 0.801
19890301 0.93 0.891 0.275 0.746
19890401 0.88 0.884 0.254 0.733
19890501 0.838 0.844 0.244 0.951
19890601 0.805 1.083 0.244 2.699
19890701 0.819 1.532 0.579 1.894
19890801 0.846 1.507 0.501 1.633
19890901 0.894 1.166 0.398 1.576
19891001 0.94 1.188 0.319 1.652
19891101 0.964 1.253 0.302 1.488
19891201 0.951 1.076 0.272 1.283
19891301 0.925 1.232 0.259 1.41
19891401 0.901 1.123 0.314 1.16
19891501 0.859 1.054 0.267 0.969
19891601 0.826 0.862 0.236 0.881
19891701 0.801 0.877 0.216 0.781
19891801 0.773 0.887 0.209 0.689
19891901 0.741 0.855 0.199 0.643
19892001 0.717 0.739 0.185 0.62
19892101 0.699 0.75 0.172 0.655
19892201 0.671 0.804 0.163 0.65
19892301 0.647 0.797 0.154 0.554
19892401 0.64 0.786 0.149 0.532
19892501 0.634 0.735 0.134 0.511
19892601 0.623 0.623 0.128 0.436
19892701 0.608 0.681 0.135 0.398
19892801 0.589 0.648 0.138 0.404
19892901 0.566 0.638 0.147 0.408
19893001 0.55 0.59 0.145 0.424
19893101 0.54 0.511 0.148 0.42
19890102 0.529 0.5 0.154 0.451
19890202 0.512 0.427 0.15 0.398
19890302 0.501 0.467 0.144 0.376
19890402 0.501 0.529 0.141 0.377
19890502 0.496 0.572 0.136 0.638
19890602 0.494 0.558 0.123 0.671
19890702 0.487 0.485 0.101 0.562
19890802 0.48 0.482 0.1 0.473
19890902 0.477 0.478 0.096 0.432
19891002 0.471 0.424 0.091 0.445
19891102 0.466 0.493 0.086 0.567
19891202 0.46 0.493 0.088 0.656
19891302 0.453 0.485 0.16 0.789
19891402 0.477 0.518 0.111 1.138
19891502 0.468 0.456 0.118 1.186
19891602 0.478 0.63 0.11 2.105
19891702 0.498 0.685 0.29 1.306
19891802 0.532 0.695 0.456 2.109
19891902 0.57 1 1.308 2.732
19892002 0.612 1.319 0.52 5.884
19892102 0.713 1.268 1.066 2.444
19892202 0.768 1.09 4.069 1.684
19892302 0.767 1.032 1.399 1.655
19892402 0.773 1.192 0.764 1.403
19892502 0.84 1.34 0.557 1.319
19892602 0.892 1.616 0.548 1.13
19892702 0.895 1.793 0.392 1.065
19892802 0.925 2.021 0.39 1.643
19890103 0.982 2.09 0.413 1.896
19890203 1.024 2.336 0.504 2.886
19890303 1.118 2.815 1.929 4.083
19890403 1.254 3.101 6.3 2.296
19890503 1.362 2.869 2.103 1.688
19890603 1.383 2.347 1.233 1.357
19890703 1.333 1.949 0.892 1.228
19890803 1.25 2.652 0.802 2.818
19890903 1.166 3.104 0.877 1.729
19891003 1.083 2.398 0.684 1.229
19891103 1.036 1.92 0.554 0.912
19891203 0.99 1.695 0.452 0.834
19891303 0.935 1.431 0.402 0.886
19891403 0.887 1.297 1.619 0.832
19891503 0.842 1.203 0.627 1.159
19891603 0.807 1.387 2.488 1.276
19891703 0.812 2.119 1.467 4.131
19891803 0.878 2.155 1.422 2.162
19891903 1.013 1.981 1.951 1.486
19892003 1.079 1.579 1.157 1.165
19892103 1.066 1.5 0.832 1.034
19892203 1.026 1.326 0.65 1.059
19892303 0.983 1.25 0.54 1.394
19892403 0.94 1.163 0.756 4.484
19892503 0.928 1.442 0.557 4.077
19892603 0.933 1.543 0.464 1.94
19892703 0.936 1.246 0.401 1.408
19892803 0.917 1.152 0.353 1.035
19892903 0.875 1.061 0.311 0.741
19893003 0.819 0.956 0.298 0.652
19893103 0.767 0.768 0.257 0.567
19890104 0.735 0.869 0.239 0.515
19890204 0.701 0.895 0.466 0.437
19890304 0.68 0.826 0.728 0.358
19890404 0.686 0.913 0.436 0.326
19890504 0.794 1.087 0.351 0.326
19890604 1.05 1.637 0.458 0.414
19890704 1.043 2.507 0.381 1.271
19890804 1.043 2.369 0.309 0.897
19890904 1.042 2.021 2.398 0.688
19891004 1.012 1.684 0.594 0.63
19891104 0.977 1.496 0.413 0.603
19891204 0.954 1.63 0.349 0.981
19891304 0.933 2.184 0.303 2.087
19891404 0.938 2.876 0.306 2.055
19891504 1.017 3.347 1.702 1.317
19891604 1.138 2.883 0.583 1.041
19891704 1.221 2.402 0.502 0.798
19891804 1.233 2.058 4.145 0.606
19891904 1.177 1.76 1.308 0.662
19892004 1.146 1.797 1.127 0.622
19892104 1.217 1.978 1.566 0.516
19892204 1.254 2.521 2.458 0.449
19892304 1.282 3.184 1.301 0.466
19892404 1.467 2.485 1.059 0.542
19892504 1.684 2.268 0.809 0.741
19892604 1.702 3.242 0.689 2.033
19892704 1.622 3.608 0.593 2.361
19892804 1.57 2.992 0.577 1.252
19892904 1.536 2.51 1.24 0.855
19893004 1.447 2.065 0.9 0.647
19890105 1.322 1.811 0.66 0.515
19890205 1.212 1.59 0.534 0.431
19890305 1.118 1.228 0.442 0.369
19890405 1.034 1.333 0.382 0.321
19890505 0.96 1.025 0.331 0.281
19890605 0.916 0.982 0.29 0.256
19890705 0.866 0.964 0.283 0.224
19890805 0.818 0.811 0.26 0.211
19890905 0.781 0.75 0.231 0.206
19891005 0.754 0.79 0.21 0.186
19891105 0.731 0.982 0.327 0.18
19891205 0.737 1.398 0.365 0.185
19891305 0.769 1.304 0.5 0.183
19891405 0.798 1.058 0.486 0.162
19891505 0.821 1.04 0.764 0.14
19891605 0.81 0.746 0.441 0.134
19891705 0.794 0.782 0.346 0.13
19891805 0.768 0.616 0.293 0.121
19891905 0.748 0.616 0.254 0.111
19892005 0.731 0.572 0.239 0.105
19892105 0.706 0.663 0.201 0.093
19892205 0.681 0.5 0.183 0.089
19892305 0.664 0.504 0.172 0.084
19892405 0.647 0.409 0.16 0.082
19892505 0.631 0.449 0.144 0.079
19892605 0.616 0.406 0.134 0.069
19892705 0.604 0.406 0.155 0.061
19892805 0.592 0.438 0.116 0.061
19892905 0.589 0.42 0.578 0.06
19893005 0.598 0.315 0.312 0.068
19893105 0.602 0.351 0.332 0.06
19890106 0.603 0.333 0.28 0.063
19890206 0.609 0.322 0.488 0.056
19890306 0.632 0.398 0.229 0.057
19890406 0.629 0.558 0.504 0.069
19890506 0.622 0.525 0.29 0.193
19890606 0.648 0.456 0.341 0.25
19890706 0.659 0.456 0.244 0.281
19890806 0.665 0.482 0.287 0.286
19890906 0.657 0.475 0.214 0.229
19891006 0.657 0.409 0.171 0.187
19891106 0.643 0.511 0.335 0.176
19891206 0.622 0.359 0.17 0.153
19891306 0.603 0.315 0.147 0.114
19891406 0.586 0.261 0.135 0.095
19891506 0.566 0.301 0.123 0.083
19891606 0.548 0.297 0.111 0.072
19891706 0.524 0.264 0.107 0.065
19891806 0.505 0.239 0.092 0.061
19891906 0.493 0.17 0.085 0.059
19892006 0.486 0.21 0.081 0.057
19892106 0.476 0.188 0.075 0.056
19892206 0.465 0.199 0.074 0.056
19892306 0.477 0.301 0.2 0.054
19892406 0.487 0.341 0.098 0.052
19892506 0.489 0.217 0.083 0.05
19892606 0.493 0.203 0.072 0.049
19892706 0.504 0.264 0.066 0.056
19892806 0.507 0.196 0.437 0.051
19892906 0.495 0.243 0.361 0.058
19893006 0.488 0.254 0.215 0.055
19890107 0.491 0.254 0.133 0.048
19890207 0.501 0.319 0.343 0.05
19890307 0.519 0.254 0.998 0.044
19890407 0.522 0.235 2.413 0.039
19890507 0.522 0.185 0.67 0.036
19890607 0.555 0.214 0.388 0.033
19890707 0.62 0.174 0.284 0.033
19890807 0.652 0.214 0.422 0.031
19890907 0.649 0.29 0.48 0.035
19891007 0.661 0.21 1.808 0.037
19891107 0.682 0.145 1.966 0.033
19891207 0.664 0.17 2.352 0.031
19891307 0.637 0.152 1.187 0.03
19891407 0.644 0.13 0.734 0.029
19891507 0.684 0.181 0.525 0.028
19891607 0.693 0.167 0.39 0.028
19891707 0.677 0.141 0.323 0.028
19891807 0.657 0.174 0.271 0.029
19891907 0.619 0.087 0.278 0.026
19892007 0.59 0.127 0.213 0.024
19892107 0.571 0.167 0.175 0.024
19892207 0.548 0.105 0.157 0.024
19892307 0.53 0.225 0.159 0.025
19892407 0.522 0.206 0.141 0.024
19892507 0.519 0.145 2.224 0.024
19892607 0.527 0.098 3.517 0.024
19892707 0.533 0.174 0.771 0.024
19892807 0.546 0.083 3.275 0.023
19892907 0.545 0.043 0.892 0.024
19893007 0.537 0.203 0.557 0.025
19893107 0.523 0.203 0.468 0.038
19890108 0.516 0.141 4.878 0.042
19890208 0.516 0.13 5.672 0.041
19890308 0.52 0.116 2.738 0.034
19890408 0.535 0.112 0.961 0.03
19890508 0.588 0.069 0.669 0.027
19890608 0.628 0.141 1.157 0.026
19890708 0.624 0.156 0.589 0.024
19890808 0.6 0.091 0.93 0.025
19890908 0.585 0.112 2.004 0.031
19891008 0.586 0.149 0.824 0.028
19891108 0.599 0.127 0.554 0.028
19891208 0.609 0.109 0.601 0.028
19891308 0.635 0.221 0.452 0.026
19891408 0.646 0.141 0.37 0.025
19891508 0.628 0.051 0.441 0.023
19891608 0.592 0.065 0.29 0.022
19891708 0.572 0.029 0.283 0.023
19891808 0.571 0.04 0.65 0.019
19891908 0.555 0.083 0.296 0.018
19892008 0.537 0.141 0.231 0.017
19892108 0.53 0.123 0.186 0.016
19892208 0.529 0.025 0.167 0.014
19892308 0.518 0.043 0.163 0.013
19892408 0.507 0.029 0.151 0.013
19892508 0.498 0.043 0.141 0.014
19892608 0.489 0.047 0.124 0.014
19892708 0.489 0.141 0.125 0.035
19892808 0.498 0.232 0.885 0.027
19892908 0.499 0.058 0.779 0.023
19893008 0.501 0.04 0.381 0.023
19893108 0.498 0.065 0.271 0.023
19890109 0.521 0.101 0.219 0.023
19890209 0.544 0.12 0.194 0.025
19890309 0.562 0.112 2.125 0.03
19890409 0.534 0.152 1.172 0.027
19890509 0.522 0.054 1.346 0.024
19890609 0.513 0.036 0.738 0.024
19890709 0.523 0.04 0.532 0.022
19890809 0.537 0.043 0.428 0.022
19890909 0.546 0.04 0.366 0.022
19891009 0.529 0.091 0.311 0.021
19891109 0.512 0.054 0.26 0.02
19891209 0.504 0.04 0.408 0.019
19891309 0.488 0.065 0.268 0.023
19891409 0.486 0.105 0.57 0.036
19891509 0.492 0.123 0.434 0.035
19891609 0.506 0.257 0.359 0.032
19891709 0.51 0.601 0.269 0.034
19891809 0.51 0.264 0.218 0.031
19891909 0.498 0.203 0.193 0.036
19892009 0.492 0.12 0.177 0.046
19892109 0.464 0.109 0.167 0.036
19892209 0.443 0.083 0.159 0.032
19892309 0.429 0.087 0.149 0.03
19892409 0.413 0.163 0.138 0.029
19892509 0.411 0.203 0.135 0.03
19892609 0.421 0.062 0.342 0.029
19892709 0.417 0.08 0.193 0.028
19892809 0.411 0.076 0.216 0.026
19892909 0.402 0.069 0.178 0.027
19893009 0.392 0.072 0.206 0.026
19890110 0.386 0.127 0.151 0.027
19890210 0.383 0.112 0.131 0.026
19890310 0.377 0.029 0.121 0.025
19890410 0.372 0.025 0.11 0.024
19890510 0.365 0.029 0.097 0.023
19890610 0.362 0.04 0.091 0.025
19890710 0.37 0.13 0.124 0.03
19890810 0.38 0.286 2.511 0.034
19890910 0.391 0.199 3.577 0.033
19891010 0.401 0.062 1.331 0.034
19891110 0.416 0.087 1.883 0.034
19891210 0.445 0.181 0.938 0.033
19891310 0.482 0.08 0.674 0.034
19891410 0.49 0.225 0.504 0.044
19891510 0.492 0.206 0.998 0.054
19891610 0.469 0.152 0.539 0.044
19891710 0.454 0.069 0.427 0.039
19891810 0.442 0.083 0.374 0.038
19891910 0.436 0.054 0.334 0.038
19892010 0.426 0.094 0.3 0.041
19892110 0.427 0.163 0.281 0.042
19892210 0.417 0.196 0.235 0.037
19892310 0.407 0.156 0.218 0.035
19892410 0.403 0.105 0.203 0.034
19892510 0.395 0.036 0.196 0.033
19892610 0.388 0.101 0.178 0.033
19892710 0.382 0.022 0.173 0.035
19892810 0.373 0.043 0.162 0.036
19892910 0.367 0.094 0.143 0.04
19893010 0.372 0.369 1.218 0.137
19893110 0.389 0.344 1.271 0.13
19890111 0.416 0.576 0.601 0.101
19890211 0.451 0.753 0.451 0.102
19890311 0.527 0.674 0.379 0.099
19890411 0.619 0.551 0.426 0.096
19890511 0.641 0.652 0.938 0.117
19890611 0.626 0.507 1.929 0.1
19890711 0.638 0.435 1.596 0.089
19890811 0.664 0.341 1.036 0.085
19890911 0.674 0.326 0.725 0.078
19891011 0.66 0.341 0.983 0.081
19891111 0.652 0.406 0.714 0.107
19891211 0.627 0.431 0.541 0.096
19891311 0.585 0.196 0.452 0.089
19891411 0.551 0.239 0.399 0.085
19891511 0.523 0.188 0.359 0.083
19891611 0.499 0.192 0.321 0.075
19891711 0.477 0.188 0.297 0.073
19891811 0.46 0.196 0.27 0.069
19891911 0.452 0.261 0.258 0.065
19892011 0.439 0.167 0.233 0.065
19892111 0.427 0.167 0.213 0.064
19892211 0.416 0.152 0.2 0.065
19892311 0.404 0.105 0.254 0.06
19892411 0.399 0.116 0.185 0.063
19892511 0.39 0.21 0.178 0.055
19892611 0.388 0.196 0.17 0.057
19892711 0.381 0.167 0.195 0.067
19892811 0.376 0.094 0.244 0.066
19892911 0.37 0.069 0.178 0.06
19893011 0.363 0.083 0.148 0.055
19890112 0.359 0.083 0.138 0.052
19890212 0.353 0.105 0.13 0.048
19890312 0.35 0.083 0.113 0.055
19890412 0.338 0.123 0.126 0.06
19890512 0.338 0.101 0.137 0.057
19890612 0.337 0.051 0.203 0.07
19890712 0.337 0.174 0.134 0.07
19890812 0.336 0.058 0.085 0.064
19890912 0.329 0.051 0.098 0.063
19891012 0.321 0.167 0.08 0.062
19891112 0.322 0.101 0.078 0.067
19891212 0.324 0.043 0.091 0.092
19891312 0.323 0.076 0.19 0.171
19891412 0.344 0.217 0.545 0.882
19891512 0.386 0.572 0.278 0.873
19891612 0.433 1.195 2.307 0.809
19891712 0.552 2.271 0.752 1.025
19891812 0.819 1.923 0.938 1.099
19891912 1.112 1.847 0.566 1.065
19892012 1.239 1.887 1.747 1.382
19892112 1.296 2.815 0.885 1.921
19892212 1.412 2.981 0.706 1.567
19892312 1.564 4.104 1.815 1.773
19892412 1.569 3.532 0.722 1.629
19892512 1.628 3.046 0.976 1.17
19892612 1.632 2.521 0.654 0.844
19892712 1.516 1.887 0.497 0.691
19892812 1.337 1.561 0.403 0.569
19892912 1.16 1.319 0.346 0.499
19893012 1.016 1.116 0.303 0.441
19893112 0.895 0.993 0.297 0.418
19900101 0.804 0.913 0.314 0.394
19900201 0.727 0.822 0.35 0.352
19900301 0.676 0.688 0.416 0.331
19900401 0.627 0.543 0.424 0.314
19900501 0.584 0.645 0.176 0.29
19900601 0.546 0.543 0.173 0.275
19900701 0.518 0.543 0.185 0.259
19900801 0.5 0.514 0.17 0.241
19900901 0.49 0.475 0.172 0.242
19901001 0.479 0.402 0.178 0.269
19901101 0.466 0.446 0.178 0.266
19901201 0.455 0.384 0.171 0.237
19901301 0.447 0.402 0.169 0.23
19901401 0.438 0.377 0.163 0.277
19901501 0.436 0.409 0.154 0.316
19901601 0.436 0.348 0.147 0.453
19901701 0.431 0.398 0.142 0.542
19901801 0.427 0.446 0.135 0.388
19901901 0.424 0.431 0.138 0.339
19902001 0.425 0.464 0.123 0.419
19902101 0.432 0.522 0.164 0.455
19902201 0.424 0.605 0.16 0.536
19902301 0.432 0.522 0.131 0.653
19902401 0.465 1.822 0.129 2.229
19902501 0.566 2.825 5.241 2.922
19902601 0.725 3.539 0.731 2.397
19902701 0.944 3.365 0.809 1.637
19902801 1.158 2.988 0.446 1.288
19902901 1.179 2.539 0.382 0.93
19903001 1.102 2.054 0.325 0.789
19903101 0.992 1.659 0.255 0.662
19900102 0.893 1.409 0.213 0.532
19900202 0.809 1.431 0.194 0.629
19900302 0.741 1.333 0.671 0.802
19900402 0.688 1.304 0.579 1.099
19900502 0.659 1.09 0.354 0.853
19900602 0.649 1.036 0.293 0.694
19900702 0.632 1.011 0.26 0.6
19900802 0.605 1.011 0.234 0.84
19900902 0.569 0.79 0.232 0.877
19901002 0.55 0.772 0.213 0.809
19901102 0.524 0.927 0.247 1.471
19901202 0.523 1.322 0.43 2.319
19901302 0.575 1.681 0.315 2.365
19901402 0.693 2.333 4.303 2.801
19901502 0.804 3.615 15.051 3.114
19901602 1.064 5.173 4.946 2.888
19901702 1.544 4.129 1.997 1.745
19901802 2.133 3.535 1.8 2.078
19901902 2.545 2.988 1.165 2.414
19902002 2.639 2.554 0.855 1.542
19902102 2.35 2.637 0.678 1.163
19902202 1.998 2.594 0.529 0.886
19902302 1.712 2.268 0.463 0.783
19902402 1.467 2.021 0.387 0.722
19902502 1.287 1.612 0.378 0.68
19902602 1.179 1.572 0.342 1.637
19902702 1.133 2.01 6.323 2.703
19902802 1.169 2.894 3.388 4.575
19900103 1.412 3.572 6.701 12.061
19900203 1.806 3.514 2.443 5.604
19900303 2.174 3.173 1.399 3.457
19900403 2.324 2.862 1.255 2.431
19900503 2.208 2.536 1.127 1.946
19900603 2.016 2.195 0.779 1.751
19900703 1.82 1.942 0.714 1.456
19900803 1.603 1.902 0.545 1.243
19900903 1.426 1.76 0.466 1.049
19901003 1.292 1.442 0.39 1.123
19901103 1.189 1.398 0.362 1.124
19901203 1.099 1.108 0.327 0.855
19901303 1.029 1.007 0.293 0.719
19901403 0.967 0.945 0.269 0.653
19901503 0.912 0.84 0.626 0.574
19901603 0.865 0.801 0.381 0.517
19901703 0.818 0.728 0.319 0.468
19901803 0.779 0.819 0.29 0.423
19901903 0.756 0.663 0.25 0.389
19902003 0.74 0.63 0.231 0.423
19902103 0.72 0.638 0.231 0.425
19902203 0.697 0.59 0.196 0.398
19902303 0.683 0.598 0.253 0.368
19902403 0.67 0.561 0.57 0.346
19902503 0.649 0.681 0.362 0.536
19902603 0.638 0.59 0.511 0.72
19902703 0.644 0.627 0.495 0.543
19902803 0.648 0.601 0.544 0.436
19902903 0.632 0.547 1.029 0.337
19903003 0.626 0.464 1.543 0.287
19903103 0.63 0.485 3.585 0.268
19900104 0.643 0.558 1.596 0.271
19900204 0.65 0.435 0.983 0.282
19900304 0.646 0.449 0.72 0.266
19900404 0.63 0.46 1.407 0.243
19900504 0.631 0.518 0.657 0.229
19900604 0.628 0.427 0.539 0.22
19900704 0.615 0.438 0.467 0.197
19900804 0.59 0.5 0.885 0.17
19900904 0.569 0.337 0.719 0.159
19901004 0.558 0.351 0.563 0.165
19901104 0.552 0.355 0.482 0.195
19901204 0.548 0.359 0.991 0.172
19901304 0.54 0.319 0.93 0.171
19901404 0.537 0.384 0.68 0.171
19901504 0.54 0.558 0.57 0.343
19901604 0.562 0.623 1.951 0.444
19901704 0.572 0.587 1.566 0.534
19901804 0.59 0.547 1.089 0.595
19901904 0.606 0.478 1.112 0.704
19902004 0.622 0.554 0.847 0.557
19902104 0.628 0.685 0.65 0.526
19902204 0.635 0.699 0.532 0.407
19902304 0.631 0.616 0.551 0.321
19902404 0.621 0.652 0.552 0.273
19902504 0.603 0.587 0.471 0.237
19902604 0.589 0.522 0.399 0.208
19902704 0.613 0.569 0.46 0.219
19902804 0.649 0.532 0.384 0.187
19902904 0.648 0.529 0.365 0.17
19903004 0.632 0.42 0.315 0.158
19900105 0.613 0.471 0.28 0.144
19900205 0.589 0.362 0.248 0.128
19900305 0.564 0.29 0.224 0.113
19900405 0.533 0.279 0.204 0.106
19900505 0.512 0.293 0.191 0.103
19900605 0.496 0.362 0.175 0.099
19900705 0.49 0.243 0.272 0.099
19900805 0.493 0.315 0.169 0.183
19900905 0.492 0.264 0.17 0.163
19901005 0.496 0.286 0.151 0.147
19901105 0.521 0.38 2.095 0.153
19901205 0.557 0.438 2.035 0.232
19901305 0.558 0.395 0.509 0.58
19901405 0.56 0.293 0.399 0.543
19901505 0.573 0.257 0.396 0.391
19901605 0.57 0.192 0.328 0.315
19901705 0.557 0.232 0.255 0.254
19901805 0.536 0.196 0.222 0.188
19901905 0.534 0.239 0.2 0.152
19902005 0.529 0.152 0.178 0.127
19902105 0.524 0.145 0.16 0.112
19902205 0.526 0.156 0.168 0.1
19902305 0.518 0.109 0.144 0.091
19902405 0.521 0.228 0.131 0.085
19902505 0.525 0.188 0.191 0.084
19902605 0.542 0.141 1.77 0.077
19902705 0.542 0.181 0.719 0.075
19902805 0.55 0.181 0.464 0.075
19902905 0.577 0.072 0.368 0.073
19903005 0.626 0.101 0.305 0.073
19903105 0.626 0.105 0.262 0.073
19900106 0.59 0.13 0.231 0.072
19900206 0.57 0.203 0.208 0.081
19900306 0.566 0.203 0.424 0.078
19900406 0.566 0.254 0.268 0.093
19900506 0.561 0.203 1.263 0.091
19900606 0.557 0.112 1.029 0.085
19900706 0.56 0.167 0.824 0.085
19900806 0.556 0.188 1.021 0.081
19900906 0.579 0.29 2.239 0.081
19901006 0.604 0.312 1.717 0.091
19901106 0.633 0.254 1.853 0.094
19901206 0.67 0.141 1.021 0.092
19901306 0.71 0.13 1.845 0.084
19901406 0.736 0.069 1.74 0.074
19901506 0.745 0.101 2.609 0.073
19901606 0.747 0.138 1.013 0.066
19901706 0.749 0.221 0.725 0.063
19901806 0.754 0.145 0.549 0.059
19901906 0.747 0.058 0.48 0.055
19902006 0.727 0.101 0.368 0.056
19902106 0.718 0.123 1.324 0.057
19902206 0.718 0.054 0.484 0.061
19902306 0.718 0.181 0.457 0.063
19902406 0.719 0.239 0.422 0.061
19902506 0.755 0.13 0.332 0.056
19902606 0.763 0.047 0.278 0.052
19902706 0.737 0.217 0.242 0.072
19902806 0.718 0.395 0.557 0.061
19902906 0.711 0.264 0.29 0.053
19903006 0.696 0.369 1.702 0.055
19900107 0.744 0.54 3.6 0.068
19900207 0.756 0.272 1.036 0.083
19900307 0.764 0.268 0.598 0.063
19900407 0.776 0.206 2.239 0.056
19900507 0.797 0.134 0.809 0.06
19900607 0.814 0.341 3.222 0.063
19900707 0.83 0.337 1.331 0.063
19900807 0.863 0.471 1.414 0.064
19900907 0.918 0.355 1.082 0.061
19901007 0.954 0.369 0.9 0.072
19901107 0.987 0.369 0.61 0.063
19901207 0.981 0.246 0.468 0.054
19901307 0.955 0.177 0.383 0.047
19901407 0.915 0.203 0.321 0.046
19901507 0.869 0.232 0.293 0.044
19901607 0.829 0.127 0.251 0.044
19901707 0.803 0.13 0.217 0.044
19901807 0.771 0.069 0.198 0.042
19901907 0.735 0.116 0.179 0.039
19902007 0.706 0.072 0.155 0.038
19902107 0.684 0.127 0.138 0.036
19902207 0.659 0.17 0.132 0.036
19902307 0.632 0.109 0.121 0.033
19902407 0.603 0.051 0.109 0.033
19902507 0.576 0.051 0.099 0.033
19902607 0.561 0.109 0.088 0.031
19902707 0.549 0.065 0.081 0.029
19902807 0.529 0.065 0.069 0.027
19902907 0.513 0.123 0.071 0.032
19903007 0.511 0.091 0.072 0.029
19903107 0.498 0.04 0.201 0.025
19900108 0.483 0.043 0.08 0.024
19900208 0.471 0.033 0.067 0.021
19900308 0.481 0.043 0.057 0.02
19900408 0.488 0.04 0.052 0.02
19900508 0.474 0.112 0.05 0.02
19900608 0.458 0.051 0.047 0.025
19900708 0.449 0.04 0.146 0.023
19900808 0.436 0.036 0.082 0.02
19900908 0.426 0.033 0.063 0.019
19901008 0.423 0.033 0.053 0.018
19901108 0.419 0.04 0.045 0.018
19901208 0.416 0.043 0.036 0.014
19901308 0.41 0.065 0.033 0.014
19901408 0.406 0.036 0.032 0.013
19901508 0.403 0.043 0.051 0.013
19901608 0.404 0.192 0.037 0.013
19901708 0.426 0.054 0.177 0.013
19901808 0.435 0.12 0.053 0.022
19901908 0.44 0.228 0.04 0.026
19902008 0.45 0.141 0.033 0.095
19902108 0.451 0.109 0.029 0.06
19902208 0.436 0.04 0.03 0.04
19902308 0.425 0.051 0.027 0.036
19902408 0.419 0.036 0.032 0.032
19902508 0.405 0.043 0.029 0.031
19902608 0.391 0.08 1.059 0.031
19902708 0.377 0.087 0.094 0.026
19902808 0.381 0.033 0.064 0.025
19902908 0.383 0.033 0.616 0.024
19903008 0.386 0.033 0.085 0.024
19903108 0.394 0.13 0.064 0.027
19900109 0.432 0.203 0.138 0.033
19900209 0.469 0.341 0.082 0.036
19900309 0.478 0.199 0.062 0.076
19900409 0.48 0.127 0.077 0.115
19900509 0.475 0.069 0.154 0.089
19900609 0.469 0.04 0.081 0.095
19900709 0.459 0.036 0.102 0.164
19900809 0.447 0.109 0.288 0.109
19900909 0.428 0.174 0.12 0.089
19901009 0.426 0.094 0.08 0.099
19901109 0.435 0.054 0.069 0.101
19901209 0.44 0.058 0.07 0.085
19901309 0.437 0.051 0.061 0.077
19901409 0.426 0.043 0.053 0.07
19901509 0.405 0.036 0.051 0.064
19901609 0.388 0.054 0.055 0.06
19901709 0.377 0.069 0.05 0.057
19901809 0.37 0.033 0.045 0.066
19901909 0.365 0.033 0.043 0.073
19902009 0.366 0.047 0.036 0.083
19902109 0.368 0.036 0.035 0.151
19902209 0.356 0.051 0.04 0.142
19902309 0.348 0.13 0.06 0.135
19902409 0.356 0.159 2.11 0.236
19902509 0.383 0.116 0.87 0.244
19902609 0.412 0.062 0.347 0.194
19902709 0.445 0.036 0.217 0.158
19902809 0.506 0.062 0.162 0.147
19902909 0.533 0.036 0.141 0.133
19903009 0.515 0.065 0.119 0.219
19900110 0.49 0.203 0.164 0.219
19900210 0.488 0.174 1.286 0.182
19900310 0.507 0.083 0.406 0.169
19900410 0.52 0.098 0.25 0.158
19900510 0.553 0.12 1.482 0.145
19900610 0.602 0.105 0.505 0.2
19900710 0.592 0.112 0.341 0.193
19900810 0.557 0.123 0.259 0.146
19900910 0.555 0.087 0.329 0.129
19901010 0.544 0.036 0.25 0.119
19901110 0.506 0.033 0.206 0.115
19901210 0.483 0.036 0.178 0.101
19901310 0.47 0.054 0.159 0.094
19901410 0.455 0.094 0.133 0.087
19901510 0.441 0.127 0.124 0.085
19901610 0.428 0.036 0.113 0.081
19901710 0.415 0.033 0.115 0.075
19901810 0.402 0.051 0.113 0.075
19901910 0.388 0.04 0.11 0.073
19902010 0.382 0.062 0.103 0.065
19902110 0.372 0.04 0.107 0.06
19902210 0.366 0.076 0.101 0.056
19902310 0.365 0.033 0.096 0.054
19902410 0.361 0.025 0.088 0.054
19902510 0.352 0.025 0.077 0.051
19902610 0.346 0.04 0.076 0.051
19902710 0.345 0.159 0.082 0.054
19902810 0.338 0.341 0.088 0.075
19902910 0.358 0.728 0.083 0.288
19903010 0.385 0.667 5.793 0.452
19903110 0.447 0.797 1.172 0.478
19900111 0.55 0.561 4.999 1.107
19900211 0.631 0.391 1.649 1.787
19900311 0.691 0.529 1.709 1.229
19900411 0.715 0.594 1.861 1.192
19900511 0.742 0.413 1.702 0.904
19900611 0.744 0.319 1.913 0.69
19900711 0.739 0.326 1.24 0.586
19900811 0.736 0.221 0.87 0.546
19900911 0.735 0.254 0.664 0.486
19901011 0.713 0.297 0.535 0.406
19901111 0.673 0.398 0.533 0.519
19901211 0.645 0.312 6.822 0.597
19901311 0.617 0.283 1.8 0.712
19901411 0.602 0.333 1.074 1.57
19901511 0.617 0.504 2.776 2.96
19901611 0.706 0.59 2.98 2.211
19901711 0.779 0.594 1.505 16.094
19901811 0.855 1.05 0.961 20.587
19901911 0.964 0.916 0.771 13.516
19902011 1.098 1.076 0.832 16.407
19902111 1.151 1.13 1.316 8.166
19902211 1.222 1.152 2.995 3.792
19902311 1.36 1.123 1.853 2.094
19902411 1.462 0.938 1.414 2.053
19902511 1.447 0.993 1.097 1.727
19902611 1.397 0.906 2.239 2.48
19902711 1.348 0.851 1.361 1.615
19902811 1.239 0.927 0.991 1.302
19902911 1.123 0.826 0.877 1.36
